year,month,day,dy_real_1_hat,df1_real_5,df1_real_10,df1_real_15,df1_real_20,avg_dealer_return_hf,avg_dealer_return
2004,1,28,.018863605,.11947441,-.0090596676,-.027658463,.027795792,-1.1215463,-1.8432521
2004,5,4,.0043963245,.028337479,.047601461,.049135447,.04408741,.33785278,.94319284
2004,6,30,-.0028373159,-.096743584,-.097442627,-.073263645,-.048444271,.38952473,.37902805
2004,8,10,.069484621,.040268421,-.010100126,-.0021095276,.013102055,-.47531161,1.4307995
2004,9,21,-.0028373159,.0010828972,-.082862854,-.018204212,.060436726,.032426868,1.5846781
2004,11,10,-.0028228492,.016672492,.00044417381,.026557207,.057537079,.16217986,-.047329854
2004,12,14,.0043963245,-.031794667,-.016076565,-.045625448,-.048622608,.0083946632,.18788092
2005,2,2,.011629964,.05381012,.022416353,-.014095545,-.012141466,.0081418632,.061564382
2005,3,22,.026097246,.092528224,.055541277,.03847146,.034238338,-.51234859,-1.5499195
2005,6,30,.033330884,-.017721891,-.046318531,-.066603661,-.061130524,-.41508159,-1.2767513
2005,8,9,-.0028373159,-.0103724,.0046606064,-.020142078,-.068219185,.25530457,.40377995
2005,9,20,.055031806,.018818617,-.0026957989,-.017054796,-.017015219,-.28331769,-.17174669
2005,11,1,.011629964,-.045126915,.016654491,.026315689,-.052721977,.2496054,-.12468746
2005,12,13,.0043963245,-.015392065,.00030994415,.007168293,.0048427582,.6212371,.89494044
2006,1,31,.047798168,-.023950338,-.071682453,-.09971571,-.056982279,-.21610832,.024183746
2006,3,28,.055031806,.057664633,.079601049,.032549381,.019328356,-.65150428,-.84319669
2006,5,10,.062265448,-.001229763,-.020797729,-.027667284,-.032572985,-.49521738,-.16254504
2006,6,29,-.024538238,-.062754154,-.052048206,.0010168552,.014898777,1.0994803,2.688123
2006,9,20,.011629964,.05442214,-.010172844,-.0055265427,.050457478,-.32652694,.97627819
2006,12,12,.0043963245,.0021226406,-.056431055,-.027169704,.043352604,.44632953,-.15089551
2007,1,31,.0043963245,-.058805466,-.049104452,-.044398308,-.038907528,.66363668,1.108616
2007,3,21,-.010085424,.0057148933,-.078047037,-.016797543,.054669619,1.4295133,2.8951726
2007,5,9,.018863605,.027415276,.0084221363,.030637503,.032010317,-.24772832,.58833855
2007,6,28,.011629964,.023169756,.018959522,.023864269,.0076055527,-.39446306,-.092302471
2007,8,7,.011629964,.018022537,.0069465637,.016302586,.011891603,-2.1132281,.62028652
2007,8,10,.033330884,.016219854,.0031268597,-.0037722588,-.026156664,-1.5944648,-.29434484
2007,8,17,-.046239156,.038454056,.054421663,.0081148148,-.0033175945,3.6822741,3.6569245
2007,9,18,-.23431382,-.014387608,.016652346,-.024503708,-.032961607,1.9724061,4.5878096
2007,10,31,.055031806,.070745468,.035682678,.021586418,.02980566,-1.4066046,1.3367927
2007,12,11,.055031806,-.11726427,-.073355436,-.083629131,-.077653408,-2.9802496,-4.3101149
2008,1,30,-.17644468,.076051116,.077538967,-.0023169518,-.010617018,1.1007749,-.27256623
2008,3,18,.12013458,-.013755083,-.062441826,.13982296,.22085047,-1.9648588,9.7596779
2008,4,30,-.096874647,-.060179353,-.01870203,-.058137894,-.085455894,.11699975,-.46131364
2008,8,5,-.031771876,.09602952,.086263418,-.0031135082,.0037899017,.36754692,4.2139697
2008,9,16,.18523733,.081498861,.032345295,-.043003321,.034199715,-2.2095182,4.7330332
2008,12,16,-.25602919,-.19957852,-.16568089,-.20799518,-.21865487,2.452719,10.206498
2009,1,28,.011629964,.064522028,.13880157,.17398047,.18371582,-.36745641,13.878593
2009,3,18,-.0028373159,-.63108802,-.48795462,-.26398492,-.016288042,2.3351066,8.5905046
2009,6,24,.011629964,.068573713,-.032472372,-.046801329,.023925304,-.98072094,1.0652761
2009,9,23,-.010070956,-.03242743,.016608,.045062542,.053534269,.67283177,-1.568423
2009,11,4,-.0028228492,-.0052868128,.019135475,-.095005512,-.059861898,-.14468369,-.96312118
2010,1,27,.011629964,.042206287,-.041324615,-.034420013,.0066087246,-.005681627,2.0126243
2010,3,16,-.0028373159,-.032723188,-.028669357,-.022253036,-.012639284,.31717965,1.7158682
2010,4,28,-.0028373159,.031998396,.032642841,.051094294,.051159382,.32264939,1.5743299
2010,6,23,.011629964,-.012225747,.01089859,.0078077316,-.0065870285,.42342457,-.69051343
2010,8,10,.011629964,-.10468853,-.081884384,-.067581654,-.060524464,.84052634,-1.395107
2010,11,3,.018863605,-.00069624186,.1642673,.15667295,.12451553,-.52892786,1.0860028
2010,12,14,.011629964,.13092566,.18248034,.1579051,.10088921,-.12456848,-1.0372342
2011,3,15,.011629964,-.018448114,-.033696651,-.045143127,-.028832436,.23556712,-1.434685
2011,4,27,.0043963245,.073655128,.1231513,.023406982,-.0021133423,.2502552,.39134076
2011,6,22,.0043963245,.040374577,.057146788,-.010623932,-.021095753,.17666416,-.58650231
2011,9,21,.040564526,-.038035691,-.069960475,-.042453527,-.057191968,-.38072217,-4.5896649
2011,11,2,.026097246,-.043159902,.034143806,.018220305,.022621036,-.33164224,2.3982882
2011,12,13,.011629964,-.052110136,-.11161458,-.13004458,-.12513959,-.98195457,-1.9235106
2012,1,25,.011629964,-.1213817,-.034646392,-.053571701,-.060865998,.22644152,.015620767
2012,3,13,.011629964,.075015783,.048364162,.027925253,.023326993,.024067534,4.6748986
2012,4,25,.011629964,-.0039542913,.031918168,.021644354,.010682821,.095459662,.59246886
2012,6,20,.026097246,.030076504,.0026014447,-.034472942,-.029189587,-.040302321,.62422431
2012,8,1,.033330884,.038511515,.032941818,.010149121,.0019123554,-.72735137,-.54047376
2012,12,12,.011629964,.061500192,.085079849,.035985112,.044857323,.42016017,.68292314
2013,1,30,.011629964,-.012284875,.056276917,.033300281,.013486862,-.036190212,-.18017717
2013,5,1,.011629964,-.0025259256,-.053285778,-.053670764,-.027707815,.36781043,-1.3051027
2013,6,19,.018863605,.22796434,.087812185,.048513889,.055840492,.044538129,-1.0870546
2013,7,31,.011629964,-.051644564,-.067942381,.033967972,-.043538809,.13091564,.2583515
2013,9,18,.011629964,-.29534638,-.039283276,-.0034518242,-.051796675,.92254186,.94171691
2013,10,30,.011629964,.015112162,.019179583,-.0032528639,-.0020520687,-.27402547,-.21458742
2014,1,29,.011629964,-.078893781,-.059542894,-.023198605,-.019612789,-.58481711,-1.099
2014,3,19,.011629964,.16279501,.016589522,-.093493819,-.081102848,.26571873,-.043389443
2014,4,30,.011629964,-.061452985,-.021339297,-.045077801,-.048803329,.0050939242,.216785
2014,6,18,.011629964,-.070058942,-.016982675,-.007266283,-.018496513,.27929047,.60623419
2014,7,30,.011629964,.10589778,.11492753,.081369638,.059636354,.60933417,.72033346
2014,9,17,.011629964,.070039093,-.011803985,-.014799595,.021877527,.61919123,.20400681
2014,10,29,.026097246,.070348859,-.06581223,-.098446846,-.030472159,-.14802128,-.11690338
2014,12,17,.0043963245,.067225754,.031281114,.021483302,.028258681,.53487825,1.9745523
2015,1,28,.011629964,-.056779921,-.10638052,-.113392,-.099302173,-.32057902,-2.3485866
2015,3,18,-.017304596,-.18517941,-.088248134,-.058352768,-.084971607,1.1437936,.56241393
2015,4,29,.011629964,.033997983,.053304076,.061445475,.062548161,.13342522,.76035607
2015,6,17,-.017304596,-.034508467,.087615371,.12534618,.10502565,-.0076906583,-.42103425
2015,7,29,.011629964,-.01488781,.047734737,.060425997,.019203901,.0019641477,1.3129678
2015,9,17,-.082392894,-.11865646,-.031780362,-.0073165894,-.026713014,-.58357728,-1.8659495
2015,10,28,.062265448,.099348962,.0052015781,-.00918293,-.0088802576,.14873314,2.8222823
2016,3,16,-.067940079,-.11284262,.00097322464,-.0027428865,-.052828789,-.89134371,-.55540347
2016,4,27,.0043963245,-.0038896203,-.14685297,-.036022902,.0075907707,.30436799,.23550569
2016,7,27,.0043963245,-.049212188,-.049271941,-.053344131,-.058187664,.02697376,.013117228
2016,9,21,.0043963245,-.05263871,-.066545725,-.069008708,-.065668106,-.50011462,.47635365
2016,11,2,.011629964,-.032226861,.014785051,.021782994,.0068398714,.31819716,-.81043333
2016,12,14,.026097246,.10225743,-.00025963783,-.037685156,-.008046031,.8510294,-.7659803
